Game ID,Date,Status,League ID,League Name,Home Team,Away Team,Home Score,Away Score,Periods
144557,2023-04-29T06:30:00+00:00,Finished,239,Asian Club Championship Women,Diamond Food W (Tha),Liaoning W (Chn),3,1,"{'first': {'home': 23, 'away': 25}, 'second': {'home': 29, 'away': 27}, 'third': {'home': 25, 'away': 22}, 'fourth': {'home': 25, 'away': 17}, 'fifth': {'home': None, 'away': None}}"
144558,2023-04-29T09:30:00+00:00,Finished,239,Asian Club Championship Women,Hisamitsu Springs W (Jpn),Paykan Tehran W (Irn),3,0,"{'first': {'home': 25, 'away': 20}, 'second': {'home': 25, 'away': 15}, 'third': {'home': 25, 'away': 17}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144559,2023-04-29T12:30:00+00:00,Finished,239,Asian Club Championship Women,Taipei Jinghua W (Tpe),Vietnam W (Asi),1,3,"{'first': {'home': 12, 'away': 25}, 'second': {'home': 23, 'away': 25}, 'third': {'home': 25, 'away': 20}, 'fourth': {'home': 23, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
144743,2023-04-30T09:30:00+00:00,Finished,239,Asian Club Championship Women,Hisamitsu Springs W (Jpn),Hip Hing W (Hkg),3,0,"{'first': {'home': 25, 'away': 9}, 'second': {'home': 25, 'away': 9}, 'third': {'home': 25, 'away': 15}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144744,2023-04-30T12:30:00+00:00,Finished,239,Asian Club Championship Women,Paykan Tehran W (Irn),Khuvsgul Erchim W (Mon),3,0,"{'first': {'home': 25, 'away': 17}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 25, 'away': 16}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144745,2023-05-01T03:30:00+00:00,Finished,239,Asian Club Championship Women,Hisamitsu Springs W (Jpn),Khuvsgul Erchim W (Mon),3,0,"{'first': {'home': 25, 'away': 15}, 'second': {'home': 25, 'away': 7}, 'third': {'home': 25, 'away': 8}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144746,2023-05-01T06:30:00+00:00,Finished,239,Asian Club Championship Women,Paykan Tehran W (Irn),Altai W (Kaz),0,3,"{'first': {'home': 15, 'away': 25}, 'second': {'home': 20, 'away': 25}, 'third': {'home': 18, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144747,2023-05-01T09:30:00+00:00,Finished,239,Asian Club Championship Women,Diamond Food W (Tha),Taipei Jinghua W (Tpe),3,0,"{'first': {'home': 25, 'away': 19}, 'second': {'home': 25, 'away': 19}, 'third': {'home': 25, 'away': 23}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144748,2023-05-01T12:30:00+00:00,Finished,239,Asian Club Championship Women,Vietnam W (Asi),Liaoning W (Chn),3,1,"{'first': {'home': 17, 'away': 25}, 'second': {'home': 25, 'away': 23}, 'third': {'home': 25, 'away': 18}, 'fourth': {'home': 25, 'away': 16}, 'fifth': {'home': None, 'away': None}}"
144749,2023-05-02T03:30:00+00:00,Finished,239,Asian Club Championship Women,Paykan Tehran W (Irn),Hip Hing W (Hkg),3,0,"{'first': {'home': 25, 'away': 18}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 25, 'away': 19}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144750,2023-05-02T06:30:00+00:00,Finished,239,Asian Club Championship Women,Hisamitsu Springs W (Jpn),Altai W (Kaz),3,2,"{'first': {'home': 16, 'away': 25}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 15, 'away': 25}, 'fourth': {'home': 25, 'away': 18}, 'fifth': {'home': 19, 'away': 17}}"
144780,2023-05-02T09:30:00+00:00,Finished,239,Asian Club Championship Women,Liaoning W (Chn),Taipei Jinghua W (Tpe),3,1,"{'first': {'home': 26, 'away': 24}, 'second': {'home': 25, 'away': 20}, 'third': {'home': 22, 'away': 25}, 'fourth': {'home': 25, 'away': 21}, 'fifth': {'home': None, 'away': None}}"
144781,2023-05-02T12:30:00+00:00,Finished,239,Asian Club Championship Women,Vietnam W (Asi),Diamond Food W (Tha),3,2,"{'first': {'home': 21, 'away': 25}, 'second': {'home': 17, 'away': 25}, 'third': {'home': 25, 'away': 20}, 'fourth': {'home': 25, 'away': 22}, 'fifth': {'home': 15, 'away': 10}}"
